Document,Yesterday Routing,Yesterday Composite,Today Routing,Today Composite,Change
20190416-board-minutes,FLAG,74%,FLAG,88.1%,SAME
20190726-board-agenda,APPROVE,99%,APPROVE,91.2%,SAME
20190814-board-minutes,APPROVE,98%,APPROVE,96.6%,SAME
20200522-board-agenda,FLAG,72%,FLAG,75.7%,SAME
20200522-board-minutes,FLAG,99%,FLAG,82.3%,SAME
20200522-nc911-board-minutes-approved,FLAG,83%,FLAG,79.8%,SAME
208m-endpoint-price-list,REJECT,40%,REJECT,40.0%,SAME
208m-endpoint-reseller-price-list,FLAG,62%,REJECT,61.5%,REGRESSED
911-education-committee,FLAG,90%,APPROVE,100.0%,IMPROVED
911-technology-committee,FLAG,91%,FLAG,91.8%,SAME
edu-committee-agenda-packet,FLAG,84%,FLAG,91.2%,SAME
gicc-lgc-censussurveyresults,REJECT,40%,FLAG,84.4%,IMPROVED
gicc-mo-minutes-20191216,APPROVE,98%,APPROVE,98.2%,SAME
logo-imagery-screenshot-imagery,FLAG,72%,FLAG,72.4%,SAME
logo-tables-shading-watermark-photos,REJECT,40%,REJECT,40.0%,SAME
logos-graphic-colors-photos-icons,REJECT,40%,REJECT,40.0%,SAME
map-imagery-photos-tables-e5cc,FLAG,50%,REJECT,40.0%,REGRESSED
mostly-text-charts-tables-screenshots,FLAG,76%,?,?,REGRESSED
newsletter-with-many-images-21fb,FLAG,0%,FLAG,0.0%,SAME
pdf-01-text-with-links,APPROVE,100%,APPROVE,100.0%,SAME
pdf-02-colored-text-logos,APPROVE,100%,APPROVE,100.0%,SAME
pdf-03-logo-imagery-map,FLAG,91%,FLAG,91.2%,SAME
pdf-04-newsletter,REJECT,40%,FLAG,85.0%,IMPROVED
pdf-05-watermark-tables,FLAG,83%,REJECT,14.7%,REGRESSED
pdf-06-powerpoint-slides,FLAG,50%,FLAG,60.0%,SAME
pdf-08-table-seal-diagram,FLAG,82%,FLAG,80.5%,SAME
pdf-09-agenda-with-logo,FLAG,91%,FLAG,91.2%,SAME
powerpoint-slides-ff0d,REJECT,40%,REJECT,40.0%,SAME
scanned-from-paper-many-pages-tables,REJECT,,REJECT,41.6%,SAME
smac-work-plan,APPROVE,100%,APPROVE,100.0%,SAME
tables-screenshots-photos-background,REJECT,40%,FLAG,60.0%,IMPROVED
